GPU,MSRP,(April 2017),(November 2017),(January 2018),(May 2018)
GeForceGTX 1050 Ti,$140 ,$150 ,$160 ,$190 ,$230 
GeForceGTX 1060 3GB,$200 ,$220 ,$235 ,$410 ,$260 
GeForceGTX 1060 6GB,$250 ,$280 ,$310 ,$530 ,$330 
GeForceGTX 1070,$380 ,$420 ,$470 ,$890 ,$520 
GeForceGTX 1070 Ti,$450 ,,$500 ,$900 ,$530 
GeForceGTX 1080,$500 ,$560 ,$590 ,$940 ,$600 
GeForceGTX 1080 Ti,$700 ,$755 ,$740 ,"$1,200 ",$940 
RadeonRX 550,$80 ,$80 ,$100 ,$120 ,$145 
RadeonRX 560 16CU,$100 ,,$130 ,$140 ,$160 
RadeonRX 570,$170 ,$190 ,$250 ,$540 ,$330 
RadeonRX 580 8GB,$230 ,$260 ,$310 ,$660 ,$350 
RadeonRX Vega 56,$400 ,,$450 ,$670 ,$600 
RadeonRX Vega 64,$500 ,,$505 ,$800 ,$750 
